Lab,Experimenter,Drug for Plate,Drug for Plate Concentration,Drug for plate concentration units,Worm Species,Worm Strain from plate,Worm strain thaw date,Start Date,Plate_Title,PlateID,Age at Death,Dead,Censor,Reason for Censor,Temperature,DeathNoCen,Experiment Name,Experimenter for observation,Plate Position,scanner name,Story Board Annotator,model file,Experiment Name for Plate,Total,Compound_Conc,compound_vector,Duration_Not_Moving_Fast,AgeofAdult,Experiment Conditions,Enviromental Conditions,Subset,Group,Group
LITHGOW,FOULGER_A,H2O,0,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_CTRL-DMSO_0UM_1,50061790,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,CTRL_DMSO_0ΜM,CTRL_H2O_0ΜM - CTRL_DMSO_0ΜM = 0,,,,,A,N2_PD1073~H2O~0~A,N2_PD1073~H2O~0~A
LITHGOW,FOULGER_A,H2O,0,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_CTRL-DMSO_0UM_1,50061790,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,CTRL_DMSO_0ΜM,CTRL_H2O_0ΜM - CTRL_DMSO_0ΜM = 0,,,,,A,N2_PD1073~H2O~0~A,N2_PD1073~H2O~0~A
LITHGOW,FOULGER_A,H2O,0,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_CTRL-DMSO_0UM_1,50061790,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,CTRL_DMSO_0ΜM,CTRL_H2O_0ΜM - CTRL_DMSO_0ΜM = 0,,,,,A,N2_PD1073~H2O~0~A,N2_PD1073~H2O~0~A
LITHGOW,FOULGER_A,H2O,0,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_CTRL-DMSO_0UM_1,50061790,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,CTRL_DMSO_0ΜM,CTRL_H2O_0ΜM - CTRL_DMSO_0ΜM = 0,,,,,A,N2_PD1073~H2O~0~A,N2_PD1073~H2O~0~A
LITHGOW,FOULGER_A,H2O,0,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_CTRL-DMSO_0UM_1,50061790,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,CTRL_DMSO_0ΜM,CTRL_H2O_0ΜM - CTRL_DMSO_0ΜM = 0,,,,,A,N2_PD1073~H2O~0~A,N2_PD1073~H2O~0~A
LITHGOW,FOULGER_A,H2O,0,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_CTRL-DMSO_0UM_1,50061790,18,0,1,lost,20,,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,CTRL_DMSO_0ΜM,CTRL_H2O_0ΜM - CTRL_DMSO_0ΜM = 0,0,,,,A,N2_PD1073~H2O~0~A,N2_PD1073~H2O~0~A
LITHGOW,FOULGER_A,H2O,0,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_CTRL-DMSO_0UM_1,50061790,18,0,1,lost,20,,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,CTRL_DMSO_0ΜM,CTRL_H2O_0ΜM - CTRL_DMSO_0ΜM = 0,0,,,,A,N2_PD1073~H2O~0~A,N2_PD1073~H2O~0~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,9,1,0,,20,9,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,14,1,0,,20,14,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,14,1,0,,20,14,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,14,1,0,,20,14,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,14,1,0,,20,14,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,14,0,1,lost,20,,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,0,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,14,0,1,lost,20,,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,0,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,14,0,1,lost,20,,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,0,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,14,0,1,lost,20,,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,0,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,16,1,0,,20,16,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,18,1,0,,20,18,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,18,1,0,,20,18,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,18,1,0,,20,18,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
LITHGOW,FOULGER_A,ACARB,10,μM,C_ELEGANS,N2_PD1073,03/28/2016,05/09/2016,N2_ACARBOSE_10UM_1,50061805,18,1,0,,20,18,LS_050916_ACAR_2STRAINS_AF,FOULGER_A,,,,,LS_050916_ACAR_2STRAINS_AF,,ACARBOSE_10ΜM,CTRL_H2O_0ΜM - ACARBOSE_10ΜM = 0,,,,,A,N2_PD1073~ACARB~10~A,N2_PD1073~ACARB~10~A
